City,Population,Wage
上海,24200000,54305
北京,21710000,52530
深圳,12530000,48691
广州,14500000,46667
杭州,9470000,46116
南京,8340000,44009
长沙,7920000,37792
武汉,10890000,35383
天津,15470000,34074
沈阳,8260000,33958
济南,7230000,33909
成都,11530000,31025
呼和浩特,3060000,30527
福州,7430000,30045
西安,9060000,30032
乌鲁木齐,3520000,29651
昆明,3970000,29496
合肥,3850000,29113
南昌,2360000,29026
郑州,4700000,28039
太原,4320000,27169
哈尔滨,6700000,26520
海口,2220000,26447
银川,1390000,26015
兰州,2660000,25990
贵阳,3290000,25079
长春,4360000,24042
南宁,4210000,22862
石家庄,2840000,22652